classmark,title,date_from,date_to,summary,medical_terms
MS-TS-AR-00043-00324,Medical,0500-01-01,1899-12-31,"Leaf from a work on dermatology, dealing with skin diseases on the authority of al-Ṭabarī and al-Rāzī; with alopecia, quoting Galen; and with corns and methods for removing them.","['alopecia', 'corn', 'dermatology', 'disease', 'galen', 'skin']"
MS-TS-AR-00043-00325,Medical,0500-01-01,1899-12-31,"Judaeo-Arabic version of ʿAlī ibn ʿĪsā, Taḏkirat al-kaḥḥālīn (‘Memorandum for opticians’), second discourse, table of contents (ed. Hyderabad 1964, pp. 39-45).",['optician']
MS-TS-AR-00043-00328,Medical,0500-01-01,1899-12-31,"Leaf from Solomon ibn Tibbon’s Hebrew translation of Maimonides’ commentary on Hippocrates, Aphorisms I: 24-II: 5 (ed. Müntner 1961, pp. 29-32).","['aphorism', 'hippocrates', 'müntner']"
MS-TS-AR-00043-00336,Medical,0500-01-01,1899-12-31,"Medico-mystical text dealing with anatomy of the guts in relationship to their mystical meanings: stomach, intestines, liver, spleen and kidneys. The fragment preserves a quotation from Psalms 139:13 and 114:1.","['anatomy', 'gut', 'intestine', 'kidney', 'liver', 'medico-mystical', 'mystical', 'spleen', 'stomach']"
MS-TS-AR-00043-00340,Medical,0500-01-01,1899-12-31,"Leaf from a theoretical medical work dealing with the composition of the body and its functions: bodily moisture, mineral composition of the body, pneumata and internal senses, and faculties of the body.","['bodily', 'body', 'medical', 'mineral', 'pneumata']"
MS-TS-AR-00044-00001,Medical,0500-01-01,1899-12-31,"Leaf from ʿAlī ibn ʿĪsā, Taḏkirat al-kaḥḥālīn (‘Memorandum for opticians’), second discourse, end of chapter 22 and beginning of chapter 23, dealing with stye and hypopyon (ed. Hyderabad 1964, pp. 132-133).","['hypopyon', 'optician', 'stye']"
MS-TS-AR-00044-00005,Medical,0500-01-01,1899-12-31,Bifolium from a medical treatise focussing on the definition of health and disease and on the reasons for why Egypt is particularly susceptible to pestilence.,"['disease', 'health', 'medical']"
MS-TS-AR-00044-00008,Medical,0500-01-01,1899-12-31,"Leaf from a Judaeo-Arabic medical work, dealing with the anatomy and physiology of the eye: the eyelids, conjunctiva and the treatment of pannus.","['anatomy', 'conjunctiva', 'eye', 'eyelid', 'medical', 'pannus', 'physiology', 'treatment']"
MS-TS-AR-00044-00009,Medical; philosophical,0500-01-01,1899-12-31,"Bifolium from a medico-philosophical work dealing with the faculties of the body and its natural heath. It includes a discussion on the curability of serious diseases, like tuberculosis, lung damage and wounds.","['body', 'curability', 'disease', 'heath', 'lung', 'medico-philosophical', 'tuberculosis', 'wound']"
MS-TS-AR-00044-00010,Medical,0500-01-01,1899-12-31,"Leaf from a booklet on materia medica, listing simples and their uses.",['medica']
MS-TS-AR-00044-00011,Medical,0500-01-01,1899-12-31,"Leaf from an ophthalmological work, presented in the form of questions and answers: the brain and the meninges, the retina and the constituent parts of the eye.","['brain', 'eye', 'meninges', 'ophthalmological', 'retina']"
MS-TS-AR-00044-00012,Medical; grammar; philosophy,0500-01-01,1899-12-31,"The three fragments do not appear to belong together. P1: grammatical discussion on letters and interpretation of texts, with mention of ‘The Ancients’; P2: bifolium from a philosophical-theological work dealing with ethics; P3: leaf from a work on materia medica, preserving a descriptive chart with names of medical plants and their uses on recto, and a further table of simple remedies on verso.","['medica', 'medical', 'plant', 'remedy']"
MS-TS-AR-00044-00013,Medical,0500-01-01,1899-12-31,"Leaf from a Judaeo-Arabic version of ʿAlī ibn ʿĪsā, Taḏkirat al-kaḥḥālīn (‘Memorandum for opticians’), second discourse, chapters 22-29 (ed. Hyderabad 1964, pp. 132-133).",['optician']
MS-TS-AR-00044-00030,Medical,0500-01-01,1899-12-31,"Bifolium from a medical work, dealing with gynaecological remedies, like emmenagogues for increasing the menstrual flow, and drugs to cause abortions.","['abortion', 'cause', 'drug', 'emmenagogue', 'gynaecological', 'medical', 'menstrual', 'remedy']"
MS-TS-AR-00044-00031,Medical,0500-01-01,1899-12-31,"Bifolium from an ophthalmological work, presented in the form of questions and answers, here dealing with vision, the vital spirit residing in the brain, diseases of the eye, eyelids and eyelashes. Belongs with T-S Ar.44.11.","['brain', 'disease', 'eye', 'eyelash', 'eyelid', 'ophthalmological', 'vision']"
MS-TS-AR-00044-00032,Medical,0500-01-01,1899-12-31,"Bifolium from a Judaeo-Arabic version of Ibn Al-Nafīs’ commentary on Hippocrates, Aphorisms, I: 2, 6-7 (ed. ʿAbd al-Qādir Muḥammad ʿAlī and Y. Zaydān 1987, pp. 96-97; 109-111).","['aphorism', 'hippocrates']"
MS-TS-AR-00044-00037,Medical,0500-01-01,1899-12-31,"Leaf from a booklet on pharmacopeia, presenting recipes for treating chest and respiratory ailments. It includes the preparation of a potion made of manna.","['ailment', 'chest', 'manna', 'pharmacopeia', 'potion', 'preparation', 'respiratory', 'treating']"
MS-TS-AR-00044-00040,Medical,0500-01-01,1899-12-31,"Bifolium from a Judaeo-Arabic version of ʿAlī ibn ʿĪsā, Taḏkirat al-kaḥḥālīn (‘Memorandum for opticians’), first discourse, chapter 14, heading of chapter 15, chapter 17 and beginning of chapter 18 (ed. Hyderabad 1964, pp. 26-27, 29-31).",['optician']
MS-TS-AR-00044-00048,Medical,0500-01-01,1899-12-31,"Opening of a medical text attributed to Eli b. Abraham, here focussing on general definitions of medicine, health and illness and phlebotomy.","['health', 'illness', 'medical', 'medicine', 'phlebotomy']"
MS-TS-AR-00044-00049,Medical,0500-01-01,1899-12-31,"Bifolia from a medical book (possibly a copy for personal use), here dealing with embryology, describing the formation of the foetus in the womb, and with paediatrics, and the practice of cupping and phlebotomy on children.","['child', 'cupping', 'embryology', 'foetus', 'medical', 'paediatrics', 'phlebotomy', 'womb']"
MS-TS-AR-00044-00051,Medical,0500-01-01,1899-12-31,"Autograph leaf from Maimonides’ epitome of Galen, ‘On the faculty of foods’ (ed. Stern, III: 15-17).","['food', 'galen']"
MS-TS-AR-00044-00056,Medical; philosophical,0500-01-01,1899-12-31,"Leaf from a medico-philosophical work, here dealing with general medical topics: the faculties and functions of the organs in the body; humours and temperaments; innate human heath.","['body', 'heath', 'human', 'humour', 'medical', 'medico-philosophical', 'organ']"
MS-TS-AR-00044-00057,Medical,0500-01-01,1899-12-31,"Bifolium from a medical work, dealing with fevers and how to treat patients suffering from them. Galen is mentioned.","['fever', 'galen', 'medical', 'patient', 'suffering', 'treat']"
MS-TS-AR-00044-00060,Medical,0500-01-01,1899-12-31,"Leaf from a work on materia medica, listing simples useful for treating stomach ache, indigestion and excessive production of bile. The fragment also deals with fruit in the diet of patients.","['ache', 'bile', 'diet', 'excessive', 'fruit', 'indigestion', 'medica', 'patient', 'stomach', 'treating']"
MS-TS-AR-00044-00061,Medical,0500-01-01,1899-12-31,"Leaf from an ophthalmological work, presented in the form of questions and answers, and here focussing on illnesses that may affect the eyelids: abscesses, hardening and thickening of the eyelids. The material is taken from ʿAlī ibn ʿĪsā, Taḏkirat al-kaḥḥālīn (‘Memorandum for opticians’; ed. Hyderabad 1964, pp. 124-126).","['abscess', 'eyelid', 'hardening', 'illness', 'ophthalmological', 'optician']"
MS-TS-AR-00044-00064,Medical,0500-01-01,1899-12-31,"From a theoretical medical work dealing with the four temperaments, the faculties of the body, the soul and the definition of what constitutes an illness.","['body', 'illness', 'medical']"
MS-TS-AR-00044-00065,Medical; astrological,0500-01-01,1899-12-31,"Bifolium from an astrological text addressing medical problems: the signs of the zodiac and their influence on health, on the emergence of illnesses and feelings of fear.","['astrological', 'fear', 'health', 'illness', 'medical']"
MS-TS-AR-00044-00069,Medical,0500-01-01,1899-12-31,"Bifolium from ʿAlī ibn ʿĪsā, Taḏkirat al-kaḥḥālīn (‘Memorandum for opticians’), second discourse, chapters 3 and 4 (ed. Hyderabad 1964, pp. 75ff.).",['optician']
MS-TS-AR-00044-00070,Medical,0500-01-01,1899-12-31,"Bifolium from a Judaeo-Arabic medical work, focussing on the management of patients and on general treatment of illnesses. Galen is mentioned on f. 2v.","['galen', 'illness', 'medical', 'patient', 'treatment']"
MS-TS-AR-00044-00073,Medical; philosophical,0500-01-01,1899-12-31,"Bifolium from a theoretical medico-philosophical work, dealing with the differences between humans and other animals, the four elements and their connection to the four humours, the innate heat of the body.","['animal', 'body', 'heat', 'human', 'humour', 'medico-philosophical']"
MS-TS-AR-00044-00074,Medical; letter,0500-01-01,1899-12-31,"Two bifolia from a Judaeo-Arabic version of Hippocrates, Aphorisms, partially covering section I, dealing with topics of general medical theory.","['aphorism', 'hippocrates', 'medical']"
MS-TS-AR-00044-00075,Medical,0500-01-01,1899-12-31,"Bifolium from a Judaeo-Arabic version of Hippocrates, Aphorisms, partially covering section II, dealing with sleep, nourishment, excretion and crises of illness.","['aphorism', 'excretion', 'hippocrates', 'illness', 'nourishment', 'sleep']"
MS-TS-AR-00044-00076,Medical,0500-01-01,1899-12-31,"Leaves from a work on pharmacopoeia with a description of various medical preparations, in no apparent order or with no single aim. Recipes are separated with a circular symbol and open with the phrases: ṣifa al- (‘description of’); wa-aḵar (‘and another recipe’) and ṣināʿat (‘the making of’).","['medical', 'pharmacopoeia', 'preparation']"
