words-tagged
Token,Is medical,Is medical,Token issues,Authorities,Ingredients,Ailments,Body Parts,Treatments
!,,,,,,,,
',,,,,,,,
'book,,,,,,,,
'mace,,,x,,x,,,
's,,,,,,,,
(,,,,,,,,
),,,,,,,,
*e,,,,,,,,
",",,,,,,,,
-,,,,,,,,
.,,,,,,,,
..,,,,,,,,
...,,,,,,,,
1,,,,,,,,
1-10,,,,,,,,
1-2,,,,,,,,
1-3,,,,,,,,
1-4,,,,,,,,
1-6,,,,,,,,
1-7,,,,,,,,
10,,,,,,,,
10-11,,,,,,,,
10-13,,,,,,,,
10-27,,,,,,,,
100-6,,,,,,,,
1020,,,,,,,,
104-105,,,,,,,,
104-106,,,,,,,,
104:27-28,,,,,,,,
105:12,,,,,,,,
106-111,,,,,,,,
106-133,,,,,,,,
108-9,,,,,,,,
109,,,,,,,,
109-111,,,,,,,,
10th,,,,,,,,
10th-11th,,,,,,,,
10th-century,,,,,,,,
11,,,,,,,,
11-12,,,,,,,,
11-14,,,,,,,,
1100,,,,,,,,
111-112,,,,,,,,
112-13,,,,,,,,
113,,,,,,,,
114-7,,,,,,,,
114:1,,,,,,,,
115,,,,,,,,
1158,,,,,,,,
116,,,,,,,,
116-121,,,,,,,,
117-119,,,,,,,,
119,,,,,,,,
119:165,,,,,,,,
11:5-11,,,,,,,,
11th,,,,,,,,
12,,,,,,,,
12-14,,,,,,,,
12-15,,,,,,,,
120,,,,,,,,
120-122,,,,,,,,
1200,,,,,,,,
121,,,,,,,,
121-123,,,,,,,,
121-22,,,,,,,,
1213-1233,,,,,,,,
122,,,,,,,,
123,,,,,,,,
124,,,,,,,,
124-126,,,,,,,,
125,,,,,,,,
126,,,,,,,,
126-130,,,,,,,,
129,,,,,,,,
129-130,,,,,,,,
12th,,,,,,,,
13,,,,,,,,
13-14,,,,,,,,
13-15,,,,,,,,
13-16,,,,,,,,
13-18,,,,,,,,
130,,,,,,,,
131,,,,,,,,
132,,,,,,,,
132-133,,,,,,,,
133,,,,,,,,
134,,,,,,,,
134-139,,,,,,,,
135,,,,,,,,
136-41,,,,,,,,
137,,,,,,,,
139,,,,,,,,
139-143,,,,,,,,
139-43,,,,,,,,
139:13,,,,,,,,
13th,,,,,,,,
14,,,,,,,,
14-15,,,,,,,,
140,,,,,,,,
141,,,,,,,,
142:6,,,,,,,,
149-150,,,,,,,,
149:1-150:4,,,,,,,,
14th,,,,,,,,
14th-century,,,,,,,,
15,,,,,,,,
15-16,,,,,,,,
15-17,,,,,,,,
1511,,,,,,,,
1517,,,,,,,,
152-153,,,,,,,,
1554,,,,,,,,
15th,,,,,,,,
16,,,,,,,,
16-17,,,,,,,,
16-18,,,,,,,,
16-19,,,,,,,,
16th,,,,,,,,
17,,,,,,,,
17-18,,,,,,,,
172,,,,,,,,
1751,,,,,,,,
179.136,,,,,,,,
179.138,,,,,,,,
17th,,,,,,,,
17th-18th,,,,,,,,
17th-century,,,,,,,,
18,,,,,,,,
183.327,,,,,,,,
1871,,,,,,,,
1874,,,,,,,,
1877,,,,,,,,
18th,,,,,,,,
19,,,,,,,,
19-20,,,,,,,,
19-21,,,,,,,,
1933,,,,,,,,
1937,,,,,,,,
