classmark,token
MS-OR-01080-00001-00063,pharmacopoeia
MS-OR-01080-00001-00063,containing
MS-OR-01080-00001-00063,diagram
MS-OR-01080-00001-00063,and
MS-OR-01080-00001-00063,symbol
MS-OR-01080-00001-00063,including
MS-OR-01080-00001-00063,drawing
MS-OR-01080-00001-00063,of
MS-OR-01080-00001-00063,star
MS-OR-01080-00001-00063,of
MS-OR-01080-00001-00063,david
MS-OR-01080-00001-00063,includes
MS-OR-01080-00001-00063,recipe
MS-OR-01080-00001-00063,to
MS-OR-01080-00001-00063,treat
MS-OR-01080-00001-00063,headache
MS-OR-01080-00001-00063,difficulty
MS-OR-01080-00001-00063,in
MS-OR-01080-00001-00063,passing
MS-OR-01080-00001-00063,urine
MS-OR-01080-00001-00063,toothache
MS-OR-01080-00001-00063,and
MS-OR-01080-00001-00063,facial
MS-OR-01080-00001-00063,palsy
MS-OR-01080-00001-00072,discussion
MS-OR-01080-00001-00072,of
MS-OR-01080-00001-00072,various
MS-OR-01080-00001-00072,medical
MS-OR-01080-00001-00072,treatment
MS-OR-01080-00001-00072,regimen
MS-OR-01080-00001-00072,and
MS-OR-01080-00001-00072,medicament
MS-OR-01080-00001-00072,including
MS-OR-01080-00001-00072,the
MS-OR-01080-00001-00072,use
MS-OR-01080-00001-00072,of
MS-OR-01080-00001-00072,aloe
MS-OR-01080-00001-00072,a
MS-OR-01080-00001-00072,purgative
MS-OR-01080-00001-00072,also
MS-OR-01080-00001-00072,discus
MS-OR-01080-00001-00072,type
MS-OR-01080-00001-00072,of
MS-OR-01080-00001-00072,fever
MS-OR-01080-00001-00081,medical
MS-OR-01080-00001-00081,work
MS-OR-01080-00001-00081,on
MS-OR-01080-00001-00081,the
MS-OR-01080-00001-00081,composition
MS-OR-01080-00001-00081,of
MS-OR-01080-00001-00081,the
MS-OR-01080-00001-00081,body
MS-OR-01080-00001-00081,classifying
MS-OR-01080-00001-00081,illness
MS-OR-01080-00001-00081,according
MS-OR-01080-00001-00081,to
MS-OR-01080-00001-00081,the
MS-OR-01080-00001-00081,opinion
MS-OR-01080-00001-00081,of
MS-OR-01080-00001-00081,two
MS-OR-01080-00001-00081,party
MS-OR-01080-00001-00081,firqah
MS-OR-01080-00001-00087,recto
MS-OR-01080-00001-00087,short
MS-OR-01080-00001-00087,medical
MS-OR-01080-00001-00087,recipe
MS-OR-01080-00001-00087,verso
MS-OR-01080-00001-00087,responsum
MS-OR-01080-00001-00087,in
MS-OR-01080-00001-00087,literary
MS-OR-01080-00001-00087,style
MS-OR-01080-00001-00087,concerning
MS-OR-01080-00001-00087,dispute
MS-OR-01080-00001-00087,between
MS-OR-01080-00001-00087,husband
MS-OR-01080-00001-00087,and
MS-OR-01080-00001-00087,wife
MS-OR-01080-00001-00087,written
MS-OR-01080-00001-00087,in
MS-OR-01080-00001-00087,the
MS-OR-01080-00001-00087,hand
MS-OR-01080-00001-00087,of
MS-OR-01080-00001-00087,yeḥiʾel
MS-OR-01080-00001-00087,b.
MS-OR-01080-00001-00087,elyaqim
MS-OR-01080-00001-00087,active
MS-OR-01080-00001-00087,ce
MS-OR-01080-00002-00070,autograph
MS-OR-01080-00002-00070,draft
MS-OR-01080-00002-00070,of
MS-OR-01080-00002-00070,medical
MS-OR-01080-00002-00070,work
MS-OR-01080-00002-00070,by
MS-OR-01080-00002-00070,moses
MS-OR-01080-00002-00070,maimonides
MS-OR-01080-00002-00070,including
MS-OR-01080-00002-00070,the
MS-OR-01080-00002-00070,beginning
MS-OR-01080-00002-00070,of
MS-OR-01080-00002-00070,the
MS-OR-01080-00002-00070,sixth
MS-OR-01080-00002-00070,discourse
MS-OR-01080-00002-00070,dealing
MS-OR-01080-00002-00070,with
MS-OR-01080-00002-00070,colic
MS-OR-01080-00002-00070,dysentry
MS-OR-01080-00002-00070,melaena
MS-OR-01080-00002-00070,stomach
MS-OR-01080-00002-00070,complaint
MS-OR-01080-00002-00070,and
MS-OR-01080-00002-00070,wind
MS-OR-01080-00002-00070,citing
MS-OR-01080-00002-00070,galen
MS-OR-01080-00002-00074,medical
MS-OR-01080-00002-00074,treatise
MS-OR-01080-00002-00074,on
MS-OR-01080-00002-00074,the
MS-OR-01080-00002-00074,treatment
MS-OR-01080-00002-00074,of
MS-OR-01080-00002-00074,swelling
MS-OR-01080-00002-00074,and
MS-OR-01080-00002-00074,it
MS-OR-01080-00002-00074,concomitant
MS-OR-01080-00002-00074,pain
MS-OR-01080-00002-00074,and
MS-OR-01080-00002-00074,heat
MS-OR-01080-00002-00074,with
MS-OR-01080-00002-00074,recipe
MS-MOSSERI-I-00117,collection
MS-MOSSERI-I-00117,of
MS-MOSSERI-I-00117,popular
MS-MOSSERI-I-00117,medical
MS-MOSSERI-I-00117,remedy
MS-MOSSERI-I-00117,featuring
MS-MOSSERI-I-00117,number
MS-MOSSERI-I-00117,of
MS-MOSSERI-I-00117,recipe
MS-MOSSERI-I-00117,for
MS-MOSSERI-I-00117,improving
MS-MOSSERI-I-00117,sexual
MS-MOSSERI-I-00117,activity
MS-MOSSERI-I-00117,and
MS-MOSSERI-I-00117,fertility
MS-MOSSERI-I-00117,simple
MS-MOSSERI-I-00117,mentioned
MS-MOSSERI-I-00117,include
MS-MOSSERI-I-00117,milk
MS-MOSSERI-I-00117,pig
MS-MOSSERI-I-00117,heart
MS-MOSSERI-I-00117,of
MS-MOSSERI-I-00117,rabbit
MS-MOSSERI-I-00117,and
MS-MOSSERI-I-00117,black
MS-MOSSERI-I-00117,male
MS-MOSSERI-I-00117,cat
MS-MOSSERI-I-00117,goat
MS-MOSSERI-I-00117,blood
MS-MOSSERI-I-00117,the
MS-MOSSERI-I-00117,tail
MS-MOSSERI-I-00117,of
MS-MOSSERI-I-00117,black
MS-MOSSERI-I-00117,male
MS-MOSSERI-I-00117,dog
MS-MOSSERI-I-00117,and
MS-MOSSERI-I-00117,saffron
MS-MOSSERI-III-00070-00002,very
MS-MOSSERI-III-00070-00002,damaged
MS-MOSSERI-III-00070-00002,fragment
MS-MOSSERI-III-00070-00002,of
MS-MOSSERI-III-00070-00002,pharmacopoeial
