token,type
abcess,ailment
abcesses,ailment
abdomen,body_part
abdominal,body_part
abnormal,ailment
abnormality,ailment
abortifacient,treatment
abortion,treatment
abortive,ailment
abrotanum,ingredient
abscess,ailment
absentmindedness,ailment
absinth,ingredient
acacia,ingredient
accident,ailment
ache,ailment
acne,ailment
acorn,ingredient
acute,ailment
aesculapius,authority
affectis,authority
afflicted,ailment
agaric,ingredient
age,ailment
aged,ailment
agent,ingredient
aid,treatment
ailing,ailment
ailment,ailment
air,ingredient
al-kaḥḥalīn,authority
al-kaḥḥlīn,authority
al-kaḥḥāl,authority
al-kaḥḥālīn,authority
al-kindī,authority
alchemical,treatment
alchemist,authority
alcoholic,ailment
alcoholism,ailment
alignment,ailment
alimentation,ailment
alleviated,treatment
alleviating,treatment
allāh,authority
almond,ingredient
aloe,ingredient
aloe-wood,ingredient
alopecia,ailment
althea,ingredient
alum,ingredient
amber,ingredient
ambergris,ingredient
amenorrhoea,ailment
ammonia,ingredient
ammoniac,ingredient
amnesia,ailment
amomum,ingredient
amulet,treatment
anachroid,body_part
anal,body_part
anaphrodisiac,treatment
anarcardium,ingredient
anasarca,ingredient
anatomical,body_part
anatomy,body_part
anchusa,ingredient
andara,ingredient
anemone,ingredient
anguish,ailment
anima,authority
anise,ingredient
aniseed,ingredient
anorectal,ailment
antihemorrhagic,ingredient
antimony,ingredient
antipyretic,ingredient
anus,body_part
anxiety,ailment
aperient,treatment
aphasia,ailment
aphrodisiac,ingredient
apoplexy,ailment
apparatus,ingredient
appetite,ailment
apple,ingredient
application,treatment
applied,treatment
apprentice,authority
apricot,ingredient
arachnoid,ailment
archigenes,authority
argilla,ingredient
aristolochia,authority
aristotle,authority
arm,body_part
armpit,body_part
aromatic,ingredient
arsenic,ingredient
artemisia,ingredient
artery,body_part
asafoetida,ingredient
ascetic,authority
ascites,ailment
ash,ingredient
asparagus,ingredient
asthma,ailment
astral,treatment
astral-medicine,treatment
astringent,ingredient
astro-medical,treatment
astrological,treatment
astrological-medical,treatment
astrology,treatment
atheroma,ailment
atrophy,ailment
attack,ailment
averroes,authority
avicenna,authority
baby,body_part
back,body_part
backache,body_part
bad,ailment
badly,ailment
baking,ingredient
balanced,treatment
baldness,ailment
balm,ingredient
balsam,ingredient
bamboo,ingredient
bandage,treatment
bandaging,treatment
bark,ingredient
barley,ingredient
barley-water,ingredient
barren,ailment
basal,treatment
base,ingredient
basil,ingredient
basilius,ingredient
bath,treatment
bathing,treatment
bayṭār,authority
bdellium,ingredient
bean,ingredient
bedwetting,ailment
bee,ingredient
beet,ingredient
belly,body_part
berberi,treatment
berberis,treatment
bernard,authority
beryl,ingredient
betel,ingredient
bile,ailment
bindweed,ingredient
birth,ailment
bite,ailment
bitten,ailment
bitter,ingredient
bituminous,ingredient
bladder,body_part
bleed,ailment
bleeding,ailment
blepharitis,ailment
blindness,ailment
bloating,ailment
blockage,ailment
blocked,ailment
blood,body_part
blood-letting,treatment
bloodletting,treatment
bloodspots,ailment
bloody,ailment
blossom,ingredient
blurred,ailment
bodily,body_part
body,body_part
boil,ailment
bole,ingredient
bone,body_part
borage,ingredient
borage-water,ingredient
borax,ingredient
bowel,body_part
box-thorn,ingredient
boy,body_part
brain,body_part
bran,ingredient
brassica,ingredient
brazilwood,ingredient
bread,ingredient
breakfast,treatment
breast,body_part
breast-feeding,ailment
breast-related,ailment
breath,body_part
breathing,ailment
broken,ailment
bubo,ailment
bulimia,ailment
burn,ailment
burning,ailment
burnt,ailment
butter,ingredient
buttock,body_part
buṭlān,authority
cabbage,ingredient
cadmia,ingredient
cadmium,ingredient
caesar,treatment
calx,ingredient
camomile,ingredient
camphor,ingredient
cancer,ailment
candy,ingredient
cannabis,ingredient
canon,authority
cant,body_part
